X,Y,OBJECTID,Owner,Path,Source,Type,HIFLD_ID,Name,Max_Voltage,ZIP_CODE,STATE,COUNTY,CITY,Lon,Lat,CAISO_Name
-13541435.79,4801525.761,67,PG&E,66,CEC,SUBSTATION,300007,Table Mt.,500,95965,CA,Butte County,Unincorporated,-121.6447874,39.55528056,Table Mountain
-13546248.89,4791638.209,68,PG&E,,CEC,SUBSTATION,304191,Tres Vias,115,95965,CA,Butte County,Unincorporated,-121.6880242,39.48676454,
-13529876.3,4792350.157,69,PG&E,,CEC,SUBSTATION,302198,Wyandotte,115,95966,CA,Butte County,Unincorporated,-121.5409467,39.49170026,Wyandotte
-13432614.35,4603454.43,70,Other,,CEC,SUBSTATION,308779,Calaveras Cement,60,95249,CA,Calaveras County,Unincorporated,-120.6672277,38.16989692,
-13405330.58,4589293.296,71,Other,,CEC,SUBSTATION,307549,Cataract,,95310,CA,Tuolumne County,Unincorporated,-120.4221335,38.06981688,
-13461440.32,4593771.561,72,PG&E,,CEC,SUBSTATION,300455,Corral,60,95236,CA,Calaveras County,Unincorporated,-120.9261759,38.10148065,
-13417780.28,4587502.736,73,PG&E,,CEC,SUBSTATION,305719,Frogtown,,95222,CA,Calaveras County,Unincorporated,-120.5339711,38.0571528,
-13418030.76,4571609.182,74,WAPA,H2,CEC,SUBSTATION,304398,Melones,230,95222,CA,Calaveras County,Unincorporated,-120.5362212,37.9446466,
-13408034.08,4600211.016,75,PG&E,,CEC,SUBSTATION,308813,Murphy,115,95247,CA,Calaveras County,Unincorporated,-120.4464194,38.14698707,
-13438416.35,4607681.92,76,PG&E,,CEC,SUBSTATION,307819,North Branch,60,95249,CA,Calaveras County,Unincorporated,-120.719348,38.19974699,
-13443388.15,4610067.361,77,PG&E,,CEC,SUBSTATION,303253,Valley Springs,,95252,CA,Calaveras County,Unincorporated,-120.7640105,38.21658506,
-13587812.32,4724175.696,78,PG&E,,CEC,SUBSTATION,303681,Arbuckle,60,95912,CA,Colusa County,Unincorporated,-122.0613948,39.01747968,
-13581261.78,4752304.902,79,PG&E,,CEC,SUBSTATION,306707,Colusa,60,95932,CA,Colusa County,Colusa,-122.0025503,39.21353467,
-13605839.41,4738953.31,80,PG&E,66X,CEC,SUBSTATION,300004,Cortina,,95987,CA,Colusa County,Unincorporated,-122.2233349,39.12054474,Cortina
-13585801.59,4717349.864,81,PG&E,,CEC,SUBSTATION,302981,Drake,60,95912,CA,Colusa County,Unincorporated,-122.0433322,38.96982277,
-13588822.38,4717264.128,82,PG&E,,CEC,SUBSTATION,307397,Harrington,60,95912,CA,Colusa County,Unincorporated,-122.0704684,38.96922396,
-13598041.92,4761421.715,83,PG&E,,CEC,SUBSTATION,306085,Maxwell,60,95955,CA,Colusa County,Unincorporated,-122.1532889,39.27695996,
-13582454.5,4779526.945,84,PG&E,,CEC,SUBSTATION,304472,Rice,60,95970,CA,Colusa County,Unincorporated,-122.0132647,39.40274718,
-13597421.11,4744255.499,85,PG&E,,CEC,SUBSTATION,301442,Williams,60,95987,CA,Colusa County,Williams,-122.1477121,39.15748765,
-13083050.97,4040781.681,86,SCE,,CEC,SUBSTATION,303308,Etiwanda,,91739,CA,San Bernardino County,Rancho Cucamonga,-117.5270464,34.08917006,Etiwanda
-13146859.4,3998138.747,87,SCE,,CEC,SUBSTATION,307039,Stadium,,90803,CA,Los Angeles County,Long Beach,-118.1002474,33.77133255,
-13595462.28,4578567.404,88,PG&E,,CEC,SUBSTATION,309944,Alhambra,115,94553,CA,Contra Costa County,Martinez,-122.1301156,37.99392322,
-13535019.15,4553604.708,89,PG&E,,CEC,SUBSTATION,308431,Byron Bethany,60,94514,CA,Contra Costa County,Unincorporated,-121.5871457,37.81698936,
-13553011.19,4581026.484,90,Other,,CEC,SUBSTATION,303848,Du Pont,60,94561,CA,Contra Costa County,Oakley,-121.748771,38.01132999,
-13533881.69,4563474.1,91,Other,,CEC,SUBSTATION,301537,Los Vaqueros,,94505,CA,Contra Costa County,Unincorporated,-121.5769277,37.88699377,
-13556613.47,4581097.269,92,Other,,CEC,SUBSTATION,307155,GWF 3,230,94509,CA,Contra Costa County,Antioch,-121.7811308,38.01183098,
-13553845.94,4580909.167,93,PG&E,,CEC,SUBSTATION,302041,GWF 4,60,94509,CA,Contra Costa County,Antioch,-121.7562696,38.01049965,
-13593869.4,4581432.002,95,Other,,CEC,SUBSTATION,303191,Shell Oil 1,115,94553,CA,Contra Costa County,Unincorporated,-122.1158065,38.01420008,
-13607184.45,4582110.779,96,Other,,CEC,SUBSTATION,305575,Union Chemical,60,94572,CA,Contra Costa County,Unincorporated,-122.2354177,38.01900393,
-13588924.35,4568971.175,97,Other,,CEC,SUBSTATION,302976,Walnut Creek Pp,,94597,CA,Contra Costa County,Walnut Creek,-122.0713843,37.92595616,
-13545163.72,4568954.501,99,PG&E,,CEC,SUBSTATION,308996,Balfour,60,94513,CA,Contra Costa County,Brentwood,-121.678276,37.92583801,
-13585728.86,4581204.695,100,Other,,CEC,SUBSTATION,308223,Bollman,115,94520,CA,Contra Costa County,Unincorporated,-122.0426788,38.0125913,
-13544995.32,4567997.645,101,PG&E,,CEC,SUBSTATION,305606,Brentwood,,94513,CA,Contra Costa County,Unincorporated,-121.6767632,37.91905743,Brentwood
-13560322.16,4563228.388,102,Other,,CEC,SUBSTATION,300121,Briones,60,94517,CA,Contra Costa County,Unincorporated,-121.8144465,37.88525172,
-13604173.3,4579830.128,103,PG&E,,CEC,SUBSTATION,300153,Christie,115,94553,CA,Contra Costa County,Unincorporated,-122.208368,38.00286202,
-13577538.9,4571532.06,104,PG&E,,CEC,SUBSTATION,303412,Clayton,115,94521,CA,Contra Costa County,Concord,-121.9691071,37.94410025,Clayton
